
=== LAYOUT MAPPING AUDIT ===
OK   | raw=LI0|L1             path=I0/L1           pid=L1     layout_cell=NDROM2 device_cell=ind2_pcell_030f
OK   | raw=LI0|L2             path=I0/L2           pid=L2     layout_cell=NDROM2 device_cell=ind2_pcell_4bca
OK   | raw=LI0|L3             path=I0/L3           pid=L3     layout_cell=NDROM2 device_cell=ind2_pcell_13b8
OK   | raw=LI0|L4             path=I0/L4           pid=L4     layout_cell=NDROM2 device_cell=ind2_pcell_7010
OK   | raw=LI0|L5             path=I0/L5           pid=L5     layout_cell=NDROM2 device_cell=ind2_pcell_03f0
OK   | raw=LI0|L6             path=I0/L6           pid=L6     layout_cell=NDROM2 device_cell=ind2_pcell_7537
OK   | raw=LI0|L7             path=I0/L7           pid=L7     layout_cell=NDROM2 device_cell=ind2_pcell_6ea0
OK   | raw=LI0|L8             path=I0/L8           pid=L8     layout_cell=NDROM2 device_cell=ind2_pcell_0878
OK   | raw=LI0|L9             path=I0/L9           pid=L9     layout_cell=NDROM2 device_cell=ind2_pcell_4d37
OK   | raw=LI0|L10            path=I0/L10          pid=L10    layout_cell=NDROM2 device_cell=ind2_pcell_2983
OK   | raw=LI0|L11            path=I0/L11          pid=L11    layout_cell=NDROM2 device_cell=ind2_pcell_f9cc
OK   | raw=LI0|L12            path=I0/L12          pid=L12    layout_cell=NDROM2 device_cell=ind2_pcell_bad2
OK   | raw=LI0|L74            path=I0/L74          pid=L74    layout_cell=NDROM2 device_cell=ind2_pcell_4bca
OK   | raw=LI0|L76            path=I0/L76          pid=L76    layout_cell=NDROM2 device_cell=ind2_pcell_d58a
OK   | raw=LI0|L75            path=I0/L75          pid=L75    layout_cell=NDROM2 device_cell=ind2_pcell_7ab2
OK   | raw=LI12|L1            path=I12/L1          pid=L1     layout_cell=NDROM2 device_cell=ind2_pcell_030f
OK   | raw=LI12|L2            path=I12/L2          pid=L2     layout_cell=NDROM2 device_cell=ind2_pcell_4bca
OK   | raw=LI12|L3            path=I12/L3          pid=L3     layout_cell=NDROM2 device_cell=ind2_pcell_13b8
OK   | raw=LI12|L4            path=I12/L4          pid=L4     layout_cell=NDROM2 device_cell=ind2_pcell_7010
OK   | raw=LI12|L5            path=I12/L5          pid=L5     layout_cell=NDROM2 device_cell=ind2_pcell_03f0
