generated_at: 2026-08-24T14:05:07.815828+00:00
cell_name: NDROMDrivers
CircuitComponent(raw=XsjI23|J5, cir_name=J1, path=I23/J5, pid=J5, layout_cell=NDROM2, net_in=I23|net141, net_out=I23|net142, target_value=180.0, extracted_value=None)
CircuitComponent(raw=LI23|L5, cir_name=L5, path=I23/L5, pid=L5, layout_cell=NDROM2, net_in=I23|net119, net_out=I23|net141, target_value=3.4, extracted_value=None)
CircuitComponent(raw=XpcI23|IB3, cir_name=IB7, path=I23/IB3, pid=IB3, layout_cell=NDROM2, net_in=Src26, net_out=I23|net119, target_value=175.0, extracted_value=None)
CircuitComponent(raw=XsjI23|J1, cir_name=J2, path=I23/J1, pid=J1, layout_cell=NDROM2, net_in=I23|net4, net_out=GND!, target_value=250.00000000000003, extracted_value=None)
CircuitComponent(raw=XpcI23|IB1, cir_name=IB5, path=I23/IB1, pid=IB1, layout_cell=NDROM2, net_in=Src26, net_out=I23|net4, target_value=175.0, extracted_value=None)
CircuitComponent(raw=LI23|L1, cir_name=L1, path=I23/L1, pid=L1, layout_cell=NDROM2, net_in=net8, net_out=I23|net4, target_value=3.7, extracted_value=None)
CircuitComponent(raw=LL15, cir_name=L23, path=L15, pid=L15, layout_cell=NDROMDrivers, net_in=net33, net_out=net8, target_value=4.0, extracted_value=None)
CircuitComponent(raw=XsjI23|J2, cir_name=J3, path=I23/J2, pid=J2, layout_cell=NDROM2, net_in=I23|net136, net_out=I23|net140, target_value=180.0, extracted_value=None)
CircuitComponent(raw=LI23|L2, cir_name=L2, path=I23/L2, pid=L2, layout_cell=NDROM2, net_in=I23|net4, net_out=I23|net136, target_value=3.1, extracted_value=None)
CircuitComponent(raw=XsjI23|J4, cir_name=J4, path=I23/J4, pid=J4, layout_cell=NDROM2, net_in=I23|net119, net_out=GND!, target_value=250.00000000000003, extracted_value=None)
CircuitComponent(raw=LI23|L4, cir_name=L4, path=I23/L4, pid=L4, layout_cell=NDROM2, net_in=net7, net_out=I23|net119, target_value=3.4, extracted_value=None)
CircuitComponent(raw=LL10, cir_name=L26, path=L10, pid=L10, layout_cell=NDROMDrivers, net_in=net28, net_out=net7, target_value=3.8, extracted_value=None)
CircuitComponent(raw=LL21, cir_name=L27, path=L21, pid=L21, layout_cell=NDROMDrivers, net_in=net29, net_out=net28, target_value=1.2, extracted_value=None)
CircuitComponent(raw=XpcIB2, cir_name=IB4, path=IB2, pid=IB2, layout_cell=NDROMDrivers, net_in=Src26, net_out=net29, target_value=280.0, extracted_value=None)
CircuitComponent(raw=LI23|L7, cir_name=L7, path=I23/L7, pid=L7, layout_cell=NDROM2, net_in=I23|net121, net_out=I23|net100, target_value=2.7, extracted_value=None)
CircuitComponent(raw=XsjI23|J7, cir_name=J5, path=I23/J7, pid=J7, layout_cell=NDROM2, net_in=I23|net138, net_out=I23|net121, target_value=90.0, extracted_value=None)
CircuitComponent(raw=LI23|L6, cir_name=L6, path=I23/L6, pid=L6, layout_cell=NDROM2, net_in=I23|net127, net_out=I23|net138, target_value=7.2, extracted_value=None)
CircuitComponent(raw=LI23|L75, cir_name=L15, path=I23/L75, pid=L75, layout_cell=NDROM2, net_in=I23|net142, net_out=I23|net127, target_value=2.0, extracted_value=None)
CircuitComponent(raw=LI23|L3, cir_name=L3, path=I23/L3, pid=L3, layout_cell=NDROM2, net_in=I23|net137, net_out=I23|net138, target_value=5.6, extracted_value=None)
CircuitComponent(raw=XpcI23|IB2, cir_name=IB6, path=I23/IB2, pid=IB2, layout_cell=NDROM2, net_in=Src26, net_out=I23|net137, target_value=139.0, extracted_value=None)
CircuitComponent(raw=LI23|L74, cir_name=L13, path=I23/L74, pid=L74, layout_cell=NDROM2, net_in=I23|net140, net_out=I23|net137, target_value=3.1, extracted_value=None)
CircuitComponent(raw=XsjI23|J10, cir_name=J6, path=I23/J10, pid=J10, layout_cell=NDROM2, net_in=I23|net144, net_out=I23|net124, target_value=177.0, extracted_value=None)
CircuitComponent(raw=XsjI23|J3, cir_name=J7, path=I23/J3, pid=J3, layout_cell=NDROM2, net_in=I23|net137, net_out=GND!, target_value=201.0, extracted_value=None)
CircuitComponent(raw=XsjI23|J6, cir_name=J8, path=I23/J6, pid=J6, layout_cell=NDROM2, net_in=I23|net127, net_out=GND!, target_value=258.0, extracted_value=None)
CircuitComponent(raw=XsjI23|J8, cir_name=J9, path=I23/J8, pid=J8, layout_cell=NDROM2, net_in=I23|net145, net_out=GND!, target_value=230.0, extracted_value=None)
CircuitComponent(raw=LI23|L76, cir_name=L14, path=I23/L76, pid=L76, layout_cell=NDROM2, net_in=I23|net144, net_out=I23|net145, target_value=1.0, extracted_value=None)
CircuitComponent(raw=LI23|L8, cir_name=L8, path=I23/L8, pid=L8, layout_cell=NDROM2, net_in=I23|net100, net_out=I23|net145, target_value=4.2, extracted_value=None)
CircuitComponent(raw=XpcI23|IB4, cir_name=IB8, path=I23/IB4, pid=IB4, layout_cell=NDROM2, net_in=Src26, net_out=I23|net100, target_value=158.0, extracted_value=None)
CircuitComponent(raw=XsjI23|J11, cir_name=J10, path=I23/J11, pid=J11, layout_cell=NDROM2, net_in=I23|net139, net_out=GND!, target_value=150.0, extracted_value=None)
CircuitComponent(raw=XpcI23|IB6, cir_name=IB9, path=I23/IB6, pid=IB6, layout_cell=NDROM2, net_in=Src26, net_out=I23|net139, target_value=175.0, extracted_value=None)
CircuitComponent(raw=LI23|L12, cir_name=L12, path=I23/L12, pid=L12, layout_cell=NDROM2, net_in=I23|net139, net_out=net5, target_value=2.4, extracted_value=None)
CircuitComponent(raw=LI23|L11, cir_name=L11, path=I23/L11, pid=L11, layout_cell=NDROM2, net_in=I23|net145, net_out=I23|net139, target_value=6.7, extracted_value=None)
CircuitComponent(raw=XsjI23|J9, cir_name=J11, path=I23/J9, pid=J9, layout_cell=NDROM2, net_in=I23|net110, net_out=GND!, target_value=250.00000000000003, extracted_value=None)
CircuitComponent(raw=XpcI23|IB5, cir_name=IB10, path=I23/IB5, pid=IB5, layout_cell=NDROM2, net_in=Src26, net_out=I23|net110, target_value=175.0, extracted_value=None)
CircuitComponent(raw=LI23|L10, cir_name=L10, path=I23/L10, pid=L10, layout_cell=NDROM2, net_in=I23|net110, net_out=I23|net124, target_value=5.5, extracted_value=None)
